127.0.0.1 - - [10/Jan/2022:13:02:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:02:51 +0530] "GET /inquiry-app-mvc/view-inquiery.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:03:16 +0530] "GET /inquiry-app-mvc/view-inquiery.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:03:39 +0530] "GET /inquiry-app-mvc/view-inquiery.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:03:51 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:03:59 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:04:00 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:04:01 +0530] "GET /inquiry-app-mvc/home.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:04:02 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:04:06 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:04:10 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:04:10 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:04:12 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:04:59 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:05:00 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:05:00 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:06:15 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:06:15 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:06:16 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:06:16 +0530] "GET /inquiry-app-mvc/inquiry.jsp HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [10/Jan/2022:13:06:39 +0530] "GET /inquiry-app-mvc/view-inquiery.jsp HTTP/1.1" 200 1310
